URL,PageRank_Score,Name,Stars,Language_Grouped,Rank_PR,Rank_Stars,Rank_Difference
https://github.com/trufflesuite/truffle,0.0009546817249297807,truffle,13999,TypeScript,202.0,1186.5,984.5
https://github.com/fastai/fastbook,0.0009543200114375952,fastbook,19233,Python,203.0,735.0,532.0
https://github.com/kovidgoyal/kitty,0.0009526602371680942,kitty,19907,Python,204.0,698.0,494.0
https://github.com/dgraph-io/dgraph,0.0009517768694036183,dgraph,19611,Go,205.0,718.0,513.0
https://github.com/derailed/k9s,0.0009464802541504297,k9s,22257,Go,206.0,568.0,362.0
https://github.com/goharbor/harbor,0.000943766327094281,harbor,20859,Go,207.0,648.0,441.0
https://github.com/hadmean/hadmean,0.000943698615446433,hadmean,502,TypeScript,208.0,1867.0,1659.0
https://github.com/grafana/k6,0.0009426357133130865,k6,21538,Go,209.0,615.0,406.0
https://github.com/aymericdamien/TensorFlow-Examples,0.000940774534603104,TensorFlow-Examples,42962,Python,210.0,176.0,-34.0
https://github.com/Ciphey/Ciphey,0.0009396772748772687,Ciphey,14031,Python,211.0,1183.5,972.5
https://github.com/sharkdp/bat,0.0009387930180928496,bat,43007,Rust,212.0,175.0,-37.0
https://github.com/compiler-explorer/compiler-explorer,0.000933283948109979,compiler-explorer,13904,TypeScript,213.0,1198.0,985.0
https://github.com/fatih/vim-go,0.0009320299831413351,vim-go,15586,Other,214.0,1028.0,814.0
https://github.com/tamiat/tamiat,0.0009251843862169916,tamiat,520,JavaScript,215.0,1853.0,1638.0
https://github.com/authelia/authelia,0.000923317739044622,authelia,17405,Go,216.0,869.0,653.0
https://github.com/RaRe-Technologies/gensim,0.0009179330686967101,gensim,14635,Python,217.0,1118.0,901.0
https://github.com/dcloudio/uni-app,0.0009172711510732426,uni-app,38609,JavaScript,218.0,221.0,3.0
https://github.com/aws-amplify/amplify-js,0.0009167051485057628,amplify-js,9270,TypeScript,219.0,1369.0,1150.0
https://github.com/shelljs/shelljs,0.0009151787675655882,shelljs,13958,JavaScript,220.0,1190.0,970.0
https://github.com/chimurai/http-proxy-middleware,0.0009146227116334659,http-proxy-middleware,10161,TypeScript,221.0,1366.0,1145.0
https://github.com/docker/compose,0.0009131726376919628,compose,30520,Go,222.0,337.0,115.0
https://github.com/yzfly/awesome-chatgpt-zh,0.000909985916698224,awesome-chatgpt-zh,8234,Python,223.0,1377.0,1154.0
https://github.com/laurent22/joplin,0.0009094461522347838,joplin,38658,TypeScript,224.0,220.0,-4.0
https://github.com/Schniz/fnm,0.0009089870040806443,fnm,13422,Rust,225.0,1263.0,1038.0
https://github.com/saltyshiomix/nextron,0.0009067234806825249,nextron,3032,TypeScript,226.0,1450.0,1224.0
https://github.com/typicode/lowdb,0.0009054476028063325,lowdb,20026,JavaScript,227.0,690.0,463.0
https://github.com/selectize/selectize.js,0.000903245246204505,selectize.js,12971,Other,228.0,1352.0,1124.0
https://github.com/denisidoro/navi,0.0009030279250232998,navi,13355,Rust,229.0,1274.0,1045.0
https://github.com/Kong/kong,0.0009028686509681013,kong,35924,Other,230.0,252.0,22.0
https://github.com/google/agi,0.000900465171685102,agi,786,Go,231.0,1706.0,1475.0
https://github.com/plotly/dash,0.000897105106450653,dash,19367,Python,232.0,727.0,495.0
https://github.com/wasmerio/wasmer,0.0008967782021105814,wasmer,16288,Rust,233.0,954.0,721.0
https://github.com/Unleash/unleash-client-node,0.0008944968595272222,unleash-client-node,198,TypeScript,234.0,2365.5,2131.5
https://github.com/gocolly/colly,0.000892875852575151,colly,20768,Go,235.0,655.0,420.0
https://github.com/emirpasic/gods,0.000891459637115444,gods,14362,Go,236.0,1142.0,906.0
https://github.com/rameshvarun/NeuralKart,0.0008913143912592912,NeuralKart,662,Other,237.0,1756.0,1519.0
https://github.com/iawia002/lux,0.0008896182888547119,lux,22081,Go,238.0,581.0,343.0
https://github.com/wireui/wireui,0.000884397897675889,wireui,1128,Other,239.0,1603.0,1364.0
https://github.com/nats-io/nats-server,0.0008838653139784797,nats-server,13568,Go,240.0,1234.0,994.0
https://github.com/google/zx,0.0008833765423303619,zx,38538,JavaScript,241.0,222.5,-18.5
https://github.com/portainer/portainer,0.0008810451785863578,portainer,26606,Go,242.0,390.0,148.0
https://github.com/pnpm/pnpm,0.0008794016126457184,pnpm,25447,TypeScript,243.0,423.0,180.0
https://github.com/formatjs/formatjs,0.0008788785549673338,formatjs,13859,TypeScript,244.0,1206.0,962.0
https://github.com/pingcap/tidb,0.0008748317701828337,tidb,34863,Go,245.0,267.0,22.0
https://github.com/FiloSottile/mkcert,0.0008738525748605211,mkcert,42686,Go,246.0,182.0,-64.0
https://github.com/salomonelli/best-resume-ever,0.0008734282203541894,best-resume-ever,16085,Other,247.0,971.0,724.0
https://github.com/dynaconf/dynaconf,0.0008723026557483023,dynaconf,3224,Python,248.0,1444.0,1196.0
https://github.com/home-assistant/core,0.0008713133996357071,core,62995,Python,249.0,78.0,-171.0
https://github.com/Yakitrak/obsidian-cli,0.0008694667189937773,obsidian-cli,200,Go,250.0,2359.5,2109.5
https://github.com/angular/angular,0.0008677618125732351,angular,90337,TypeScript,251.0,40.0,-211.0
https://github.com/parcel-bundler/parcel,0.0008640046674643905,parcel,42700,JavaScript,252.0,181.0,-71.0
https://github.com/spmallick/learnopencv,0.0008628205904065957,learnopencv,19251,Python,253.0,734.0,481.0
https://github.com/asdf-vm/asdf,0.0008609786010638504,asdf,18542,Other,254.0,789.0,535.0
https://github.com/rclone/rclone,0.0008597601607172393,rclone,40320,Go,255.0,202.0,-53.0
https://github.com/rmusser01/Infosec_Reference,0.000859533075777805,Infosec_Reference,5122,Other,256.0,1396.0,1140.0
https://github.com/zyedidia/micro,0.000858874619084246,micro,22709,Go,257.0,546.0,289.0
https://github.com/alacritty/alacritty,0.0008588578935827391,alacritty,48650,Rust,258.0,131.0,-127.0
https://github.com/mouredev/Hello-Python,0.0008580168111959393,Hello-Python,15852,Python,259.0,1000.0,741.0
https://github.com/CodeEditApp/CodeEdit,0.000858009129687024,CodeEdit,19068,Other,260.0,744.0,484.0
https://github.com/drizzle-team/drizzle-orm,0.0008552081976578063,drizzle-orm,13358,TypeScript,261.0,1273.0,1012.0
